,*************************************************************************************,,,,,,,,,,,,,,,
,PathTrack Archival Tracking System Results File,,,,,,,,,,,,,,,
,Created 01.08.23 11:32 AM,,,,,,,,,,,,,,,
,DO NOT MODIFY THIS HEADER,,,,,,,,,,,,,,,
,*************************************************************************************,,,,,,,,,,,,,,,
Order,Day,Month,Year,Hour,Minute,Second,Battery,SVs tracked,latitude,longitude,Height,,,,,
1,13,7,23,4,31,14,16274.4,0,0,0,0,9999.999,9999.999,4.12,0,20
2,13,7,23,4,46,14,17174.4,0,0,0,0,9999.999,9999.999,4.12,0,20
3,13,7,23,5,1,14,18074.4,0,0,0,0,9999.999,9999.999,4.12,0,20
4,13,7,23,5,16,14,18974.4,0,0,0,0,9999.999,9999.999,4.12,0,20
5,13,7,23,5,31,14,19874.4,0,0,0,0,9999.999,9999.999,4.12,0,20
6,13,7,23,5,46,14,20774.4,0,0,0,0,9999.999,9999.999,4.12,0,20
7,13,7,23,6,1,14,21674.4,0,0,0,0,9999.999,9999.999,4.12,0,20
8,13,7,23,6,16,14,22574.4,0,0,0,0,9999.999,9999.999,4.12,0,20
9,13,7,23,6,31,14,23474.4,0,0,0,0,9999.999,9999.999,4.12,0,20
10,13,7,23,6,46,14,24374.4,0,0,0,0,9999.999,9999.999,4.12,0,20
11,13,7,23,7,0,56,25256.35,8,48.118178,-122.910885,-13.5,9999.999,2.48E-06,4.1,0,20
12,13,7,23,7,17,56,26276.28,8,48.115964,-122.90755,-9.5,5.315,3.31E-06,4.12,0,20
13,13,7,23,7,34,58,27298.295,6,48.113927,-122.908816,-34.25,5.245,2.93E-06,4.12,0,20
14,13,7,23,7,51,56,28316.295,8,48.112218,-122.910873,-8,5.26,3.88E-06,4.12,0,20
15,13,7,23,8,8,58,29338.28,6,48.111012,-122.912199,1.75,5.295,4.84E-06,4.1,0,20
16,13,7,23,8,25,56,30356.305,8,48.107689,-122.913401,-8.5,5.31,5.60E-06,4.12,0,20
17,13,7,23,8,42,58,31378.3,6,48.105236,-122.915117,-41,5.31,6.41E-07,4.1,0,20
18,13,7,23,8,59,56,32396.32,7,48.104471,-122.918484,-41.5,5.31,5.54E-06,4.12,0,20
19,13,7,23,9,16,58,33418.31,6,48.1054,-122.920594,-33.5,5.315,1.13E-06,4.12,0,20
20,13,7,23,9,34,0,34440.285,5,48.105649,-122.922979,-42.25,5.3,1.92E-07,4.1,0,20
21,13,7,23,9,50,59,35459.28,6,48.107052,-122.923599,-26,5.275,3.24E-06,4.1,0,20
22,13,7,23,10,7,59,36479.305,6,48.107548,-122.927236,-28,5.28,2.23E-06,4.12,0,20
23,13,7,23,10,24,57,37497.32,9,48.109069,-122.931263,-27.25,5.315,5.95E-06,4.1,0,20
24,13,7,23,10,41,57,38517.325,8,48.109338,-122.936714,-10.25,5.34,4.14E-06,4.1,0,20
25,13,7,23,10,58,57,39537.33,8,48.110437,-122.938023,-21.25,5.34,4.12E-06,4.1,0,20
26,13,7,23,11,15,57,40557.31,6,48.109262,-122.939217,-118.75,5.32,2.10E-06,4.1,0,20
27,13,7,23,11,32,59,41579.38,5,48.108595,-122.952,-90.25,5.335,6.20E-07,4.12,0,20
28,13,7,23,11,49,57,42597.345,7,48.109295,-122.966661,2,5.37,4.26E-06,4.1,0,20
29,13,7,23,12,7,15,43635.37,0,0,0,0,9999.999,9999.999,4.1,0,20
30,13,7,23,12,24,6,44646.32,4,48.125293,-122.976599,2,5.35,1.81E-06,4.1,0,20
31,13,7,23,12,40,58,45658.35,8,48.124076,-122.978035,-26.5,5.325,6.07E-06,4.1,0,20
32,13,7,23,12,58,2,46682.415,5,48.121887,-122.980082,30.75,5.37,2.67E-07,4.1,0,20
33,13,7,23,13,15,0,47700.38,6,48.11848,-122.980129,-34.75,5.42,3.67E-06,4.1,0,20
34,13,7,23,13,32,0,48720.39,6,48.11672,-122.985551,-41,5.41,3.39E-06,4.1,0,20
35,13,7,23,13,49,0,49740.39,6,48.117852,-122.992492,-30.5,5.385,3.26E-06,4.1,0,20
36,13,7,23,14,5,58,50758.375,7,48.11824,-122.996001,-27.25,5.37,4.12E-06,4.1,0,20
37,13,7,23,14,22,58,51778.37,7,48.156344,-122.873029,-20.75,5.365,3.47E-06,4.1,0,20
38,13,7,23,14,40,16,52816.365,3,0,0,0,9999.999,9999.999,4.1,0,20
39,13,7,23,14,57,3,53823.395,5,48.1428,-122.727324,-32.75,5.38,5.34E-07,4.1,0,20
40,13,7,23,15,14,1,54841.4,5,48.148119,-122.734109,-7.25,5.405,1.07E-06,4.1,0,20
41,13,7,23,15,31,0,55860.435,6,48.152036,-122.738723,-19.5,5.43,1.62E-06,4.1,0,20
42,13,7,23,15,48,0,56880.44,7,48.154186,-122.741417,-34,5.45,4.16E-06,4.08,0,20
43,13,7,23,16,5,1,57901.44,6,48.15596,-122.743271,-23,5.45,4.34E-06,4.1,0,20
44,13,7,23,16,21,59,58919.44,7,48.157711,-122.744205,-29.5,5.44,2.21E-06,4.1,0,20
45,13,7,23,16,38,59,59939.44,7,48.159033,-122.744464,-27,5.435,3.46E-06,4.08,0,20
46,13,7,23,16,55,59,60959.435,7,48.189894,-122.710852,-30.75,5.435,1.72E-06,4.1,0,20
47,13,7,23,17,13,1,61981.425,5,48.187405,-122.717945,-51,5.43,4.67E-07,4.1,0,20
48,13,7,23,17,29,59,62999.53,7,48.183052,-122.713416,-30.75,5.475,2.69E-06,4.08,0,20
49,13,7,23,17,47,3,64023.535,5,48.175964,-122.711158,-25.25,5.555,4.83E-07,4.08,0,20
50,13,7,23,18,4,2,65042.535,6,48.167207,-122.709527,-26.5,5.575,6.00E-07,4.08,0,20
51,13,7,23,18,19,1,65941.545,7,48.156763,-122.701415,-9,5.55,3.62E-06,4.08,0,20
52,13,7,23,18,34,0,66840.54,8,48.144636,-122.691536,-17,5.53,3.22E-06,4.08,0,20
53,13,7,23,18,49,0,67740.54,8,48.13442,-122.679708,-0.75,5.53,3.22E-06,4.08,0,20
54,13,7,23,19,4,2,68642.56,6,48.125485,-122.666194,-7.5,5.55,9.00E-07,4.08,0,20
55,13,7,23,19,21,0,69660.46,8,48.116171,-122.653051,-1.5,5.52,2.80E-06,4.08,0,20
56,13,7,23,19,38,3,70683.49,6,48.106454,-122.64184,4.5,5.46,9.43E-07,4.08,0,20
57,13,7,23,19,55,2,71702.48,6,48.094205,-122.636272,-3.25,5.455,1.33E-06,4.08,0,20
58,13,7,23,20,12,0,72720.415,7,48.040197,-122.626643,1.75,5.445,2.50E-06,4.08,0,20
59,13,7,23,20,27,1,73621.545,7,47.924106,-122.475757,-16.25,5.475,1.48E-06,4.08,0,20
60,13,7,23,20,44,1,74641.455,7,47.906128,-122.444734,-7,5.515,2.02E-06,4.08,0,20
61,13,7,23,21,1,4,75664.585,5,47.899258,-122.443477,10.5,5.54,1.79E-07,4.08,0,20
62,13,7,23,21,18,2,76682.52,6,47.891398,-122.437468,-12.25,5.565,1.24E-06,4.08,0,20
63,13,7,23,21,35,2,77702.505,6,47.88428,-122.433934,-11.5,5.525,1.51E-06,4.08,0,20
64,13,7,23,21,52,0,78720.505,7,47.880333,-122.432373,-8.25,5.485,1.20E-06,4.08,0,20
65,13,7,23,22,9,0,79740.485,7,47.88106,-122.432019,-10.25,5.475,1.32E-06,4.08,0,20
66,13,7,23,22,26,0,80760.445,9,47.898147,-122.432456,3,5.46,4.30E-06,4.08,0,20
67,13,7,23,22,43,0,81780.47,6,47.899396,-122.436392,-10.75,5.45,1.32E-06,4.08,0,20
68,13,7,23,23,0,2,82802.49,5,47.899921,-122.43896,15.25,5.475,8.89E-07,4.08,0,20
69,13,7,23,23,17,0,83820.435,7,47.900401,-122.441037,-20.5,5.475,4.74E-06,4.08,0,20
70,13,7,23,23,34,0,84840.505,7,47.901471,-122.443485,-23.75,5.47,3.00E-06,4.08,0,20
71,13,7,23,23,51,0,85860.52,5,47.905553,-122.452633,-84.5,5.51,2.60E-07,4.08,0,20
72,14,7,23,0,8,0,480.67,4,47.906868,-122.457219,-84,5.615,8.05E-08,4.08,0,20
73,14,7,23,0,25,2,1502.485,6,47.907874,-122.439086,-35,5.63,1.64E-06,4.08,0,20
74,14,7,23,0,42,0,2520.5,5,47.893137,-122.418968,-44.75,5.5,4.21E-07,4.08,0,20
75,14,7,23,0,59,0,3540.48,6,47.894749,-122.417141,15.25,5.425,1.31E-06,4.08,0,20
76,14,7,23,1,16,0,4560.495,6,47.893831,-122.417091,-39.25,5.45,3.04E-06,4.08,0,20
77,14,7,23,1,33,0,5580.48,6,47.896634,-122.417179,-23.5,5.5,2.88E-06,4.08,0,20
78,14,7,23,1,50,19,6619.5,0,0,0,0,9999.999,9999.999,4.08,0,20
79,14,7,23,2,7,15,7635.43,4,47.917519,-122.444999,-23,5.48,5.55E-07,4.08,0,20
80,14,7,23,2,24,2,8642.49,5,47.917229,-122.455449,49,5.45,5.53E-08,4.08,0,20
81,14,7,23,2,41,3,9663.5,5,47.920436,-122.464994,5.25,5.48,1.57E-07,4.08,0,20
82,14,7,23,2,58,2,10682.53,6,47.925185,-122.474957,16.5,5.53,5.57E-07,4.08,0,20
83,14,7,23,3,15,2,11702.53,5,47.930774,-122.484452,16,5.555,2.68E-06,4.08,0,20
84,14,7,23,3,32,3,12723.505,6,47.936501,-122.492671,-20.25,5.53,9.07E-07,4.08,0,20
85,14,7,23,3,49,6,13746.48,4,47.942361,-122.501982,-20,5.48,5.85E-07,4.08,0,20
86,14,7,23,4,6,3,14763.49,6,47.967811,-122.578575,-3.25,5.46,7.27E-07,4.08,0,20
87,14,7,23,4,23,4,15784.49,6,48.026936,-122.649613,-14.75,5.48,2.37E-06,4.08,0,20
88,14,7,23,4,40,2,16802.48,9,48.030753,-122.654047,-8.75,5.495,3.41E-06,4.08,0,20
89,14,7,23,4,57,2,17822.485,7,48.059862,-122.666136,-33.25,5.49,2.39E-06,4.08,0,20
90,14,7,23,5,14,3,18843.49,7,48.119832,-122.689426,-10.25,5.485,2.60E-06,4.08,0,20
91,14,7,23,5,31,4,19864.495,6,48.12217,-122.686697,-25.5,5.49,3.73E-06,4.08,0,20
92,14,7,23,5,48,3,20883.5,6,48.123518,-122.684204,-13.5,5.5,1.82E-06,4.08,0,20
93,14,7,23,6,5,3,21903.5,7,48.151436,-122.772607,-13.25,5.505,2.29E-06,4.08,0,20
94,14,7,23,6,21,18,22878.555,5,48.142205,-122.891272,-149,5.53,1.61E-06,4.08,0,20
95,14,7,23,6,36,26,23786.53,2,0,0,0,9999.999,9999.999,4.08,0,20
96,14,7,23,6,51,26,24686.53,2,0,0,0,9999.999,9999.999,4.08,0,20
97,14,7,23,7,6,20,25580,5,48.127181,-122.923468,-14.75,5.29,2.05E-06,4.08,0,20
98,14,7,23,7,21,25,26485.12,4,48.12589,-122.925683,-149,4.44,7.48E-07,4.08,0,20
99,14,7,23,7,36,20,27380.14,5,48.125794,-122.924062,33.5,9999.999,1.33E-05,4.08,0,20
100,14,7,23,7,51,25,28285.44,3,0,0,0,9999.999,9999.999,4.06,0,20
101,14,7,23,8,6,23,29183.14,5,48.1265,-122.923131,-20,5.14,1.88E-05,4.02,0,20
102,14,7,23,8,21,23,30083.47,4,48.136681,-122.932025,-149,9999.999,6.55E-07,4,0,20
103,14,7,23,8,36,26,30986.14,2,0,0,0,9999.999,9999.999,3.96,0,20
104,14,7,23,8,51,26,31886.14,2,0,0,0,9999.999,9999.999,3.96,0,20
105,14,7,23,9,6,23,32783.15,4,48.123928,-122.939619,-149,2.31,2.72E-07,3.94,0,20
106,14,7,23,9,21,19,33679.97,4,48.126177,-122.925131,-149,9999.999,1.29E-06,3.92,0,20
107,14,7,23,9,36,23,34583.31,3,0,0,0,9999.999,9999.999,3.94,0,20
